AUTHOR GROUP1
1649651 : 0.10059679520457784
1649882 : 0.1944377576517419
1672500 : 0.18484392751028614
1672555 : 0.02316610790048612
1677020 : 0.01824749557963598
1689133 : 8.517492267046123E-16
1693985 : 5.977555466487366E-16
1700807 : 1.89973354394169E-15
1701194 : 2.0848925156312845E-15
1708489 : 0.1562030690955871
1709042 : 0.0019537612402237806
1717396 : 0.10016126699118362
1726675 : 0.015038857678606925
1743291 : 0.028766175783127887
1749524 : 0.15027448298827148
1756874 : 0.015735764690587656
1758891 : 0.00627648523183619
1758896 : 0.026873510112958788
1759443 : 0.08239902550301798
1792340 : 0.005454964309011426
1800077 : 0.05227141310701166
1875664 : 0.005763764261066472
1876677 : 0.06917422684847302
1879077 : 0.008268901955172391
